method,question,ground_truth_answer,recall_at_1,adj_recall_at_1,recall_at_3,adj_recall_at_3,recall_at_5,adj_recall_at_5,recall_at_7,adj_recall_at_7,recall_at_10,adj_recall_at_10,mrr,adj_mrr,ndcg_at_10,rouge1_f,rouge2_f,rougeL_f
rag,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reranked_rag,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_rerank_rag,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",,,,,,,,,,,,,,0.0,0.0,0.0
unfiltered,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",,,,,,,,,,,,,,0.8085106382978724,0.7555555555555555,0.8085106382978724
web_search,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",,,,,,,,,,,,,,0.37113402061855666,0.21052631578947367,0.309278350515464
baseline,When is the interest on the notes payable for the company in fiscal year 2017?,"Interest on the notes is payable on March 16 and September 16 of each year, beginning on March 16, 2017.",,,,,,,,,,,,,,0.30303030303030304,0.0625,0.24242424242424243
rag,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reranked_rag,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_rerank_rag,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",,,,,,,,,,,,,,0.0,0.0,0.0
unfiltered,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",,,,,,,,,,,,,,0.8,0.782608695652174,0.8
web_search,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",,,,,,,,,,,,,,0.25,0.13043478260869568,0.25
baseline,"Where is the company's corporate headquarters located as of December 31, 2016?","The company's corporate headquarters is located in Seattle, Washington.",,,,,,,,,,,,,,0.25,0.13043478260869568,0.20833333333333334
rag,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.12765957446808512
reranked_rag,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071428571428571,0.5185185185185185,0.6071428571428571
ensemble_rerank_rag,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.6666666666666666
unfiltered,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,,,,,,,,,,,,,,0.6799999999999999,0.5833333333333334,0.6799999999999999
web_search,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,,,,,,,,,,,,,,0.33333333333333337,0.24,0.29411764705882354
baseline,How much in Notes did the company issue in fiscal year 2017?,$1.00 billion of the Notes Due 2021 and $1.00 billion of the Notes Due 2026.,,,,,,,,,,,,,,0.03076923076923077,0.0,0.03076923076923077
rag,What unresolved staff comments does the company have for the fiscal year?,None.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reranked_rag,What unresolved staff comments does the company have for the fiscal year?,None.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_rerank_rag,What unresolved staff comments does the company have for the fiscal year?,None.,,,,,,,,,,,,,,0.0,0.0,0.0
unfiltered,What unresolved staff comments does the company have for the fiscal year?,None.,,,,,,,,,,,,,,0.0,0.0,0.0
web_search,What unresolved staff comments does the company have for the fiscal year?,None.,,,,,,,,,,,,,,0.0,0.0,0.0
baseline,What unresolved staff comments does the company have for the fiscal year?,None.,,,,,,,,,,,,,,0.0,0.0,0.0
rag,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2890648263178879,0.3921568627450981,0.24489795918367344,0.3137254901960785
reranked_rag,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5573770491803279,0.47457627118644063,0.5573770491803279
ensemble_rerank_rag,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6799999999999999,0.625,0.6799999999999999
unfiltered,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,,,,,,,,,,,,,,0.53125,0.48387096774193544,0.53125
web_search,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,,,,,,,,,,,,,,0.1185185185185185,0.04511278195488722,0.08888888888888888
baseline,When will the 2018 Proxy Statement be filed with the Securities and Exchange Commission for the company?,The 2018 Proxy Statement will be filed within 120 days after the end of the fiscal year.,,,,,,,,,,,,,,0.3548387096774193,0.19999999999999998,0.3548387096774193
